STATE OF DISPLACEMET,STATE CODE,LOCALITY OF DISPLACEMENT,LOCALITY_ CODE,IDPs,HHs,  SUDANESE  , NON SUDANESE,State_Of_Origin,IDPs_by_state_of_origin
South Darfur,SD03,Damso,SD03172,2910,582,2910,0, White Nile,0
South Darfur,SD03,Ed Al Fursan,SD03143,29995,5999,29995,0, Aj Jazirah,0
South Darfur,SD03,Ed Al Fursan,SD03143,29995,5999,29995,0, Central Darfur,2250
South Darfur,SD03,Ed Al Fursan,SD03143,29995,5999,29995,0, East Darfur,0
South Darfur,SD03,Ed Al Fursan,SD03143,29995,5999,29995,0, Khartoum,1625
South Darfur,SD03,Ed Al Fursan,SD03143,29995,5999,29995,0, North Darfur,885
South Darfur,SD03,Ed Al Fursan,SD03143,29995,5999,29995,0, North Kordofan,0
South Darfur,SD03,Ed Al Fursan,SD03143,29995,5999,29995,0, Sennar,0
South Darfur,SD03,Ed Al Fursan,SD03143,29995,5999,29995,0, South Darfur,24985
South Darfur,SD03,Ed Al Fursan,SD03143,29995,5999,29995,0, South Kordofan,0
South Darfur,SD03,Ed Al Fursan,SD03143,29995,5999,29995,0, West Darfur,250
South Darfur,SD03,Ed Al Fursan,SD03143,29995,5999,29995,0, West Kordofan,0
South Darfur,SD03,Ed Al Fursan,SD03143,29995,5999,29995,0, White Nile,0
South Darfur,SD03,Gereida,SD03153,1925,385,1925,0, Aj Jazirah,0
South Darfur,SD03,Gereida,SD03153,1925,385,1925,0, Central Darfur,0
South Darfur,SD03,Gereida,SD03153,1925,385,1925,0, East Darfur,0
South Darfur,SD03,Gereida,SD03153,1925,385,1925,0, Khartoum,0
South Darfur,SD03,Gereida,SD03153,1925,385,1925,0, North Darfur,0
South Darfur,SD03,Gereida,SD03153,1925,385,1925,0, North Kordofan,0
South Darfur,SD03,Gereida,SD03153,1925,385,1925,0, Sennar,0
South Darfur,SD03,Gereida,SD03153,1925,385,1925,0, South Darfur,1925
South Darfur,SD03,Gereida,SD03153,1925,385,1925,0, South Kordofan,0
South Darfur,SD03,Gereida,SD03153,1925,385,1925,0, West Darfur,0
South Darfur,SD03,Gereida,SD03153,1925,385,1925,0, West Kordofan,0
South Darfur,SD03,Gereida,SD03153,1925,385,1925,0, White Nile,0
South Darfur,SD03,Kas,SD03144,61200,12240,61200,0, Aj Jazirah,0
South Darfur,SD03,Kas,SD03144,61200,12240,61200,0, Central Darfur,1040
South Darfur,SD03,Kas,SD03144,61200,12240,61200,0, East Darfur,0
South Darfur,SD03,Kas,SD03144,61200,12240,61200,0, Khartoum,0
South Darfur,SD03,Kas,SD03144,61200,12240,61200,0, North Darfur,0
South Darfur,SD03,Kas,SD03144,61200,12240,61200,0, North Kordofan,0
South Darfur,SD03,Kas,SD03144,61200,12240,61200,0, Sennar,0
South Darfur,SD03,Kas,SD03144,61200,12240,61200,0, South Darfur,60160
South Darfur,SD03,Kas,SD03144,61200,12240,61200,0, South Kordofan,0
South Darfur,SD03,Kas,SD03144,61200,12240,61200,0, West Darfur,0
South Darfur,SD03,Kas,SD03144,61200,12240,61200,0, West Kordofan,0
South Darfur,SD03,Kas,SD03144,61200,12240,61200,0, White Nile,0
South Darfur,SD03,Kateila,SD03159,29360,5872,29360,0, Aj Jazirah,0
South Darfur,SD03,Kateila,SD03159,29360,5872,29360,0, Central Darfur,0
South Darfur,SD03,Kateila,SD03159,29360,5872,29360,0, East Darfur,0
South Darfur,SD03,Kateila,SD03159,29360,5872,29360,0, Khartoum,2500
South Darfur,SD03,Kateila,SD03159,29360,5872,29360,0, North Darfur,0
South Darfur,SD03,Kateila,SD03159,29360,5872,29360,0, North Kordofan,0
South Darfur,SD03,Kateila,SD03159,29360,5872,29360,0, Sennar,0
South Darfur,SD03,Kateila,SD03159,29360,5872,29360,0, South Darfur,26860
South Darfur,SD03,Kateila,SD03159,29360,5872,29360,0, South Kordofan,0
South Darfur,SD03,Kateila,SD03159,29360,5872,29360,0, West Darfur,0
South Darfur,SD03,Kateila,SD03159,29360,5872,29360,0, West Kordofan,0
South Darfur,SD03,Kateila,SD03159,29360,5872,29360,0, White Nile,0
South Darfur,SD03,Kubum,SD03157,5375,1075,5375,0, Aj Jazirah,0
South Darfur,SD03,Kubum,SD03157,5375,1075,5375,0, Central Darfur,50
South Darfur,SD03,Kubum,SD03157,5375,1075,5375,0, East Darfur,0
South Darfur,SD03,Kubum,SD03157,5375,1075,5375,0, Khartoum,0
South Darfur,SD03,Kubum,SD03157,5375,1075,5375,0, North Darfur,0
South Darfur,SD03,Kubum,SD03157,5375,1075,5375,0, North Kordofan,0
South Darfur,SD03,Kubum,SD03157,5375,1075,5375,0, Sennar,0
South Darfur,SD03,Kubum,SD03157,5375,1075,5375,0, South Darfur,5325
South Darfur,SD03,Kubum,SD03157,5375,1075,5375,0, South Kordofan,0
South Darfur,SD03,Kubum,SD03157,5375,1075,5375,0, West Darfur,0
South Darfur,SD03,Kubum,SD03157,5375,1075,5375,0, West Kordofan,0
South Darfur,SD03,Kubum,SD03157,5375,1075,5375,0, White Nile,0
South Darfur,SD03,Mershing,SD03145,26520,5304,26520,0, Aj Jazirah,0
South Darfur,SD03,Mershing,SD03145,26520,5304,26520,0, Central Darfur,0
South Darfur,SD03,Mershing,SD03145,26520,5304,26520,0, East Darfur,0
South Darfur,SD03,Mershing,SD03145,26520,5304,26520,0, Khartoum,0
South Darfur,SD03,Mershing,SD03145,26520,5304,26520,0, North Darfur,375
South Darfur,SD03,Mershing,SD03145,26520,5304,26520,0, North Kordofan,0
South Darfur,SD03,Mershing,SD03145,26520,5304,26520,0, Sennar,0
South Darfur,SD03,Mershing,SD03145,26520,5304,26520,0, South Darfur,26145
South Darfur,SD03,Mershing,SD03145,26520,5304,26520,0, South Kordofan,0
South Darfur,SD03,Mershing,SD03145,26520,5304,26520,0, West Darfur,0
South Darfur,SD03,Mershing,SD03145,26520,5304,26520,0, West Kordofan,0
South Darfur,SD03,Mershing,SD03145,26520,5304,26520,0, White Nile,0
South Darfur,SD03,Nitega,SD03151,6495,1299,6495,0, Aj Jazirah,0
South Darfur,SD03,Nitega,SD03151,6495,1299,6495,0, Central Darfur,0
South Darfur,SD03,Nitega,SD03151,6495,1299,6495,0, East Darfur,0
South Darfur,SD03,Nitega,SD03151,6495,1299,6495,0, Khartoum,0
South Darfur,SD03,Nitega,SD03151,6495,1299,6495,0, North Darfur,0
South Darfur,SD03,Nitega,SD03151,6495,1299,6495,0, North Kordofan,0
South Darfur,SD03,Nitega,SD03151,6495,1299,6495,0, Sennar,0
South Darfur,SD03,Nitega,SD03151,6495,1299,6495,0, South Darfur,6495
South Darfur,SD03,Nitega,SD03151,6495,1299,6495,0, South Kordofan,0
South Darfur,SD03,Nitega,SD03151,6495,1299,6495,0, West Darfur,0
South Darfur,SD03,Nitega,SD03151,6495,1299,6495,0, West Kordofan,0
South Darfur,SD03,Nitega,SD03151,6495,1299,6495,0, White Nile,0
South Darfur,SD03,Nyala Janoub,SD03167,70250,14050,70250,0, Aj Jazirah,0
South Darfur,SD03,Nyala Janoub,SD03167,70250,14050,70250,0, Central Darfur,0
South Darfur,SD03,Nyala Janoub,SD03167,70250,14050,70250,0, East Darfur,0
South Darfur,SD03,Nyala Janoub,SD03167,70250,14050,70250,0, Khartoum,0
South Darfur,SD03,Nyala Janoub,SD03167,70250,14050,70250,0, North Darfur,0
South Darfur,SD03,Nyala Janoub,SD03167,70250,14050,70250,0, North Kordofan,0
South Darfur,SD03,Nyala Janoub,SD03167,70250,14050,70250,0, Sennar,0
South Darfur,SD03,Nyala Janoub,SD03167,70250,14050,70250,0, South Darfur,70075
South Darfur,SD03,Nyala Janoub,SD03167,70250,14050,70250,0, South Kordofan,0
South Darfur,SD03,Nyala Janoub,SD03167,70250,14050,70250,0, West Darfur,175
South Darfur,SD03,Nyala Janoub,SD03167,70250,14050,70250,0, West Kordofan,0
South Darfur,SD03,Nyala Janoub,SD03167,70250,14050,70250,0, White Nile,0
South Darfur,SD03,Nyala Shimal,SD03164,6215,1243,6215,0, Aj Jazirah,0
South Darfur,SD03,Nyala Shimal,SD03164,6215,1243,6215,0, Central Darfur,0
South Darfur,SD03,Nyala Shimal,SD03164,6215,1243,6215,0, East Darfur,0
South Darfur,SD03,Nyala Shimal,SD03164,6215,1243,6215,0, Khartoum,0
South Darfur,SD03,Nyala Shimal,SD03164,6215,1243,6215,0, North Darfur,0
South Darfur,SD03,Nyala Shimal,SD03164,6215,1243,6215,0, North Kordofan,0
South Darfur,SD03,Nyala Shimal,SD03164,6215,1243,6215,0, Sennar,0
South Darfur,SD03,Nyala Shimal,SD03164,6215,1243,6215,0, South Darfur,6215
South Darfur,SD03,Nyala Shimal,SD03164,6215,1243,6215,0, South Kordofan,0
South Darfur,SD03,Nyala Shimal,SD03164,6215,1243,6215,0, West Darfur,0
South Darfur,SD03,Nyala Shimal,SD03164,6215,1243,6215,0, West Kordofan,0
South Darfur,SD03,Nyala Shimal,SD03164,6215,1243,6215,0, White Nile,0
South Darfur,SD03,Rehaid Albirdi,SD03158,9875,1975,9875,0, Aj Jazirah,0
South Darfur,SD03,Rehaid Albirdi,SD03158,9875,1975,9875,0, Central Darfur,0
South Darfur,SD03,Rehaid Albirdi,SD03158,9875,1975,9875,0, East Darfur,0
South Darfur,SD03,Rehaid Albirdi,SD03158,9875,1975,9875,0, Khartoum,0
South Darfur,SD03,Rehaid Albirdi,SD03158,9875,1975,9875,0, North Darfur,0
South Darfur,SD03,Rehaid Albirdi,SD03158,9875,1975,9875,0, North Kordofan,0
South Darfur,SD03,Rehaid Albirdi,SD03158,9875,1975,9875,0, Sennar,0
South Darfur,SD03,Rehaid Albirdi,SD03158,9875,1975,9875,0, South Darfur,9875
South Darfur,SD03,Rehaid Albirdi,SD03158,9875,1975,9875,0, South Kordofan,0
South Darfur,SD03,Rehaid Albirdi,SD03158,9875,1975,9875,0, West Darfur,0
South Darfur,SD03,Rehaid Albirdi,SD03158,9875,1975,9875,0, West Kordofan,0
South Darfur,SD03,Rehaid Albirdi,SD03158,9875,1975,9875,0, White Nile,0
South Darfur,SD03,Sharg Aj Jabal,SD03147,31145,6230,31145,0, Aj Jazirah,0
South Darfur,SD03,Sharg Aj Jabal,SD03147,31145,6230,31145,0, Central Darfur,650
South Darfur,SD03,Sharg Aj Jabal,SD03147,31145,6230,31145,0, East Darfur,0
South Darfur,SD03,Sharg Aj Jabal,SD03147,31145,6230,31145,0, Khartoum,0
South Darfur,SD03,Sharg Aj Jabal,SD03147,31145,6230,31145,0, North Darfur,600
South Darfur,SD03,Sharg Aj Jabal,SD03147,31145,6230,31145,0, North Kordofan,0
South Darfur,SD03,Sharg Aj Jabal,SD03147,31145,6230,31145,0, Sennar,0
South Darfur,SD03,Sharg Aj Jabal,SD03147,31145,6230,31145,0, South Darfur,29895
South Darfur,SD03,Sharg Aj Jabal,SD03147,31145,6230,31145,0, South Kordofan,0
South Darfur,SD03,Sharg Aj Jabal,SD03147,31145,6230,31145,0, West Darfur,0
South Darfur,SD03,Sharg Aj Jabal,SD03147,31145,6230,31145,0, West Kordofan,0
South Darfur,SD03,Sharg Aj Jabal,SD03147,31145,6230,31145,0, White Nile,0
South Darfur,SD03,Tulus,SD03149,19625,3925,19625,0, Aj Jazirah,0
South Darfur,SD03,Tulus,SD03149,19625,3925,19625,0, Central Darfur,0
South Darfur,SD03,Tulus,SD03149,19625,3925,19625,0, East Darfur,0
South Darfur,SD03,Tulus,SD03149,19625,3925,19625,0, Khartoum,0
South Darfur,SD03,Tulus,SD03149,19625,3925,19625,0, North Darfur,0
South Darfur,SD03,Tulus,SD03149,19625,3925,19625,0, North Kordofan,0
South Darfur,SD03,Tulus,SD03149,19625,3925,19625,0, Sennar,0
South Darfur,SD03,Tulus,SD03149,19625,3925,19625,0, South Darfur,19625
South Darfur,SD03,Tulus,SD03149,19625,3925,19625,0, South Kordofan,0
South Darfur,SD03,Tulus,SD03149,19625,3925,19625,0, West Darfur,0
South Darfur,SD03,Tulus,SD03149,19625,3925,19625,0, West Kordofan,0
South Darfur,SD03,Tulus,SD03149,19625,3925,19625,0, White Nile,0
South Darfur,SD03,Um Dafoug,SD03146,2725,545,2725,0, Aj Jazirah,0
South Darfur,SD03,Um Dafoug,SD03146,2725,545,2725,0, Central Darfur,0
South Darfur,SD03,Um Dafoug,SD03146,2725,545,2725,0, East Darfur,0
South Darfur,SD03,Um Dafoug,SD03146,2725,545,2725,0, Khartoum,0
South Darfur,SD03,Um Dafoug,SD03146,2725,545,2725,0, North Darfur,0
South Darfur,SD03,Um Dafoug,SD03146,2725,545,2725,0, North Kordofan,0
South Darfur,SD03,Um Dafoug,SD03146,2725,545,2725,0, Sennar,0
South Darfur,SD03,Um Dafoug,SD03146,2725,545,2725,0, South Darfur,2725
South Darfur,SD03,Um Dafoug,SD03146,2725,545,2725,0, South Kordofan,0
South Darfur,SD03,Um Dafoug,SD03146,2725,545,2725,0, West Darfur,0
South Darfur,SD03,Um Dafoug,SD03146,2725,545,2725,0, West Kordofan,0
South Darfur,SD03,Um Dafoug,SD03146,2725,545,2725,0, White Nile,0
South Kordofan,SD07,Abassiya,SD07090,37450,7400,37379,71, Aj Jazirah,1663
South Kordofan,SD07,Abassiya,SD07090,37450,7400,37379,71, Central Darfur,0
South Kordofan,SD07,Abassiya,SD07090,37450,7400,37379,71, East Darfur,0
South Kordofan,SD07,Abassiya,SD07090,37450,7400,37379,71, Khartoum,14542
South Kordofan,SD07,Abassiya,SD07090,37450,7400,37379,71, North Darfur,0
South Kordofan,SD07,Abassiya,SD07090,37450,7400,37379,71, North Kordofan,245
South Kordofan,SD07,Abassiya,SD07090,37450,7400,37379,71, Sennar,0
South Kordofan,SD07,Abassiya,SD07090,37450,7400,37379,71, South Darfur,0
South Kordofan,SD07,Abassiya,SD07090,37450,7400,37379,71, South Kordofan,21000
South Kordofan,SD07,Abassiya,SD07090,37450,7400,37379,71, West Darfur,0
South Kordofan,SD07,Abassiya,SD07090,37450,7400,37379,71, West Kordofan,0
South Kordofan,SD07,Abassiya,SD07090,37450,7400,37379,71, White Nile,0
South Kordofan,SD07,Abu Jubayhah,SD07088,18534,3671,17990,544, Aj Jazirah,790
South Kordofan,SD07,Abu Jubayhah,SD07088,18534,3671,17990,544, Central Darfur,0
South Kordofan,SD07,Abu Jubayhah,SD07088,18534,3671,17990,544, East Darfur,0
South Kordofan,SD07,Abu Jubayhah,SD07088,18534,3671,17990,544, Khartoum,13146
South Kordofan,SD07,Abu Jubayhah,SD07088,18534,3671,17990,544, North Darfur,0
South Kordofan,SD07,Abu Jubayhah,SD07088,18534,3671,17990,544, North Kordofan,3330
South Kordofan,SD07,Abu Jubayhah,SD07088,18534,3671,17990,544, Sennar,165
South Kordofan,SD07,Abu Jubayhah,SD07088,18534,3671,17990,544, South Darfur,0
South Kordofan,SD07,Abu Jubayhah,SD07088,18534,3671,17990,544, South Kordofan,1103
South Kordofan,SD07,Abu Jubayhah,SD07088,18534,3671,17990,544, West Darfur,0
South Kordofan,SD07,Abu Jubayhah,SD07088,18534,3671,17990,544, West Kordofan,0
South Kordofan,SD07,Abu Jubayhah,SD07088,18534,3671,17990,544, White Nile,0
South Kordofan,SD07,Abu Kershola,SD07104,9131,1766,9131,0, Aj Jazirah,0
South Kordofan,SD07,Abu Kershola,SD07104,9131,1766,9131,0, Central Darfur,0
South Kordofan,SD07,Abu Kershola,SD07104,9131,1766,9131,0, East Darfur,0
South Kordofan,SD07,Abu Kershola,SD07104,9131,1766,9131,0, Khartoum,6300
South Kordofan,SD07,Abu Kershola,SD07104,9131,1766,9131,0, North Darfur,0
South Kordofan,SD07,Abu Kershola,SD07104,9131,1766,9131,0, North Kordofan,935
South Kordofan,SD07,Abu Kershola,SD07104,9131,1766,9131,0, Sennar,0
South Kordofan,SD07,Abu Kershola,SD07104,9131,1766,9131,0, South Darfur,0
South Kordofan,SD07,Abu Kershola,SD07104,9131,1766,9131,0, South Kordofan,1896
South Kordofan,SD07,Abu Kershola,SD07104,9131,1766,9131,0, West Darfur,0
South Kordofan,SD07,Abu Kershola,SD07104,9131,1766,9131,0, West Kordofan,0
South Kordofan,SD07,Abu Kershola,SD07104,9131,1766,9131,0, White Nile,0
South Kordofan,SD07,Al Leri,SD07105,1919,364,1919,0, Aj Jazirah,5
South Kordofan,SD07,Al Leri,SD07105,1919,364,1919,0, Central Darfur,0
South Kordofan,SD07,Al Leri,SD07105,1919,364,1919,0, East Darfur,0
South Kordofan,SD07,Al Leri,SD07105,1919,364,1919,0, Khartoum,1798
South Kordofan,SD07,Al Leri,SD07105,1919,364,1919,0, North Darfur,0
South Kordofan,SD07,Al Leri,SD07105,1919,364,1919,0, North Kordofan,81
South Kordofan,SD07,Al Leri,SD07105,1919,364,1919,0, Sennar,0
South Kordofan,SD07,Al Leri,SD07105,1919,364,1919,0, South Darfur,0
South Kordofan,SD07,Al Leri,SD07105,1919,364,1919,0, South Kordofan,35
South Kordofan,SD07,Al Leri,SD07105,1919,364,1919,0, West Darfur,0
South Kordofan,SD07,Al Leri,SD07105,1919,364,1919,0, West Kordofan,0
South Kordofan,SD07,Al Leri,SD07105,1919,364,1919,0, White Nile,0
South Kordofan,SD07,Al Quoz,SD07094,5397,1056,5270,127, Aj Jazirah,0
South Kordofan,SD07,Al Quoz,SD07094,5397,1056,5270,127, Central Darfur,0
South Kordofan,SD07,Al Quoz,SD07094,5397,1056,5270,127, East Darfur,0
South Kordofan,SD07,Al Quoz,SD07094,5397,1056,5270,127, Khartoum,1804
South Kordofan,SD07,Al Quoz,SD07094,5397,1056,5270,127, North Darfur,0
South Kordofan,SD07,Al Quoz,SD07094,5397,1056,5270,127, North Kordofan,30
South Kordofan,SD07,Al Quoz,SD07094,5397,1056,5270,127, Sennar,0
South Kordofan,SD07,Al Quoz,SD07094,5397,1056,5270,127, South Darfur,0
South Kordofan,SD07,Al Quoz,SD07094,5397,1056,5270,127, South Kordofan,3563
South Kordofan,SD07,Al Quoz,SD07094,5397,1056,5270,127, West Darfur,0
South Kordofan,SD07,Al Quoz,SD07094,5397,1056,5270,127, West Kordofan,0
South Kordofan,SD07,Al Quoz,SD07094,5397,1056,5270,127, White Nile,0
South Kordofan,SD07,Ar Rashad,SD07093,6054,1216,6054,0, Aj Jazirah,280
South Kordofan,SD07,Ar Rashad,SD07093,6054,1216,6054,0, Central Darfur,0
South Kordofan,SD07,Ar Rashad,SD07093,6054,1216,6054,0, East Darfur,0
South Kordofan,SD07,Ar Rashad,SD07093,6054,1216,6054,0, Khartoum,3855
South Kordofan,SD07,Ar Rashad,SD07093,6054,1216,6054,0, North Darfur,0
South Kordofan,SD07,Ar Rashad,SD07093,6054,1216,6054,0, North Kordofan,227
South Kordofan,SD07,Ar Rashad,SD07093,6054,1216,6054,0, Sennar,0
South Kordofan,SD07,Ar Rashad,SD07093,6054,1216,6054,0, South Darfur,0
South Kordofan,SD07,Ar Rashad,SD07093,6054,1216,6054,0, South Kordofan,1592
South Kordofan,SD07,Ar Rashad,SD07093,6054,1216,6054,0, West Darfur,0
South Kordofan,SD07,Ar Rashad,SD07093,6054,1216,6054,0, West Kordofan,20
South Kordofan,SD07,Ar Rashad,SD07093,6054,1216,6054,0, White Nile,80
South Kordofan,SD07,Ar Reif Ash Shargi,SD07097,28675,5735,28675,0, Aj Jazirah,0
South Kordofan,SD07,Ar Reif Ash Shargi,SD07097,28675,5735,28675,0, Central Darfur,0
South Kordofan,SD07,Ar Reif Ash Shargi,SD07097,28675,5735,28675,0, East Darfur,0
South Kordofan,SD07,Ar Reif Ash Shargi,SD07097,28675,5735,28675,0, Khartoum,0
South Kordofan,SD07,Ar Reif Ash Shargi,SD07097,28675,5735,28675,0, North Darfur,0
South Kordofan,SD07,Ar Reif Ash Shargi,SD07097,28675,5735,28675,0, North Kordofan,0
South Kordofan,SD07,Ar Reif Ash Shargi,SD07097,28675,5735,28675,0, Sennar,0
South Kordofan,SD07,Ar Reif Ash Shargi,SD07097,28675,5735,28675,0, South Darfur,0
South Kordofan,SD07,Ar Reif Ash Shargi,SD07097,28675,5735,28675,0, South Kordofan,28675
South Kordofan,SD07,Ar Reif Ash Shargi,SD07097,28675,5735,28675,0, West Darfur,0
South Kordofan,SD07,Ar Reif Ash Shargi,SD07097,28675,5735,28675,0, West Kordofan,0
South Kordofan,SD07,Ar Reif Ash Shargi,SD07097,28675,5735,28675,0, White Nile,0
South Kordofan,SD07,At Tadamon - SK,SD07106,1216,219,1216,0, Aj Jazirah,15
South Kordofan,SD07,At Tadamon - SK,SD07106,1216,219,1216,0, Central Darfur,0
South Kordofan,SD07,At Tadamon - SK,SD07106,1216,219,1216,0, East Darfur,0
South Kordofan,SD07,At Tadamon - SK,SD07106,1216,219,1216,0, Khartoum,1137
South Kordofan,SD07,At Tadamon - SK,SD07106,1216,219,1216,0, North Darfur,0
South Kordofan,SD07,At Tadamon - SK,SD07106,1216,219,1216,0, North Kordofan,5
South Kordofan,SD07,At Tadamon - SK,SD07106,1216,219,1216,0, Sennar,0
South Kordofan,SD07,At Tadamon - SK,SD07106,1216,219,1216,0, South Darfur,0
South Kordofan,SD07,At Tadamon - SK,SD07106,1216,219,1216,0, South Kordofan,0
South Kordofan,SD07,At Tadamon - SK,SD07106,1216,219,1216,0, West Darfur,0
South Kordofan,SD07,At Tadamon - SK,SD07106,1216,219,1216,0, West Kordofan,0
South Kordofan,SD07,At Tadamon - SK,SD07106,1216,219,1216,0, White Nile,59
South Kordofan,SD07,Delami,SD07107,1420,284,1420,0, Aj Jazirah,0
South Kordofan,SD07,Delami,SD07107,1420,284,1420,0, Central Darfur,0
South Kordofan,SD07,Delami,SD07107,1420,284,1420,0, East Darfur,0
South Kordofan,SD07,Delami,SD07107,1420,284,1420,0, Khartoum,1420
South Kordofan,SD07,Delami,SD07107,1420,284,1420,0, North Darfur,0
South Kordofan,SD07,Delami,SD07107,1420,284,1420,0, North Kordofan,0
South Kordofan,SD07,Delami,SD07107,1420,284,1420,0, Sennar,0
South Kordofan,SD07,Delami,SD07107,1420,284,1420,0, South Darfur,0
South Kordofan,SD07,Delami,SD07107,1420,284,1420,0, South Kordofan,0
South Kordofan,SD07,Delami,SD07107,1420,284,1420,0, West Darfur,0
South Kordofan,SD07,Delami,SD07107,1420,284,1420,0, West Kordofan,0
South Kordofan,SD07,Delami,SD07107,1420,284,1420,0, White Nile,0
South Kordofan,SD07,Dilling,SD07095,13970,2934,13970,0, Aj Jazirah,0
South Kordofan,SD07,Dilling,SD07095,13970,2934,13970,0, Central Darfur,0
South Kordofan,SD07,Dilling,SD07095,13970,2934,13970,0, East Darfur,0
South Kordofan,SD07,Dilling,SD07095,13970,2934,13970,0, Khartoum,8045
South Kordofan,SD07,Dilling,SD07095,13970,2934,13970,0, North Darfur,0
South Kordofan,SD07,Dilling,SD07095,13970,2934,13970,0, North Kordofan,5
South Kordofan,SD07,Dilling,SD07095,13970,2934,13970,0, Sennar,0
South Kordofan,SD07,Dilling,SD07095,13970,2934,13970,0, South Darfur,0
South Kordofan,SD07,Dilling,SD07095,13970,2934,13970,0, South Kordofan,5920
South Kordofan,SD07,Dilling,SD07095,13970,2934,13970,0, West Darfur,0
South Kordofan,SD07,Dilling,SD07095,13970,2934,13970,0, West Kordofan,0
South Kordofan,SD07,Dilling,SD07095,13970,2934,13970,0, White Nile,0
South Kordofan,SD07,Ghadeer,SD07108,1900,380,1900,0, Aj Jazirah,0
South Kordofan,SD07,Ghadeer,SD07108,1900,380,1900,0, Central Darfur,0
South Kordofan,SD07,Ghadeer,SD07108,1900,380,1900,0, East Darfur,0
South Kordofan,SD07,Ghadeer,SD07108,1900,380,1900,0, Khartoum,1900
South Kordofan,SD07,Ghadeer,SD07108,1900,380,1900,0, North Darfur,0
South Kordofan,SD07,Ghadeer,SD07108,1900,380,1900,0, North Kordofan,0
South Kordofan,SD07,Ghadeer,SD07108,1900,380,1900,0, Sennar,0
South Kordofan,SD07,Ghadeer,SD07108,1900,380,1900,0, South Darfur,0
South Kordofan,SD07,Ghadeer,SD07108,1900,380,1900,0, South Kordofan,0
South Kordofan,SD07,Ghadeer,SD07108,1900,380,1900,0, West Darfur,0
South Kordofan,SD07,Ghadeer,SD07108,1900,380,1900,0, West Kordofan,0
South Kordofan,SD07,Ghadeer,SD07108,1900,380,1900,0, White Nile,0
South Kordofan,SD07,Habila - SK,SD07103,56626,11319,56626,0, Aj Jazirah,0
South Kordofan,SD07,Habila - SK,SD07103,56626,11319,56626,0, Central Darfur,0
South Kordofan,SD07,Habila - SK,SD07103,56626,11319,56626,0, East Darfur,0
South Kordofan,SD07,Habila - SK,SD07103,56626,11319,56626,0, Khartoum,2484
South Kordofan,SD07,Habila - SK,SD07103,56626,11319,56626,0, North Darfur,0
South Kordofan,SD07,Habila - SK,SD07103,56626,11319,56626,0, North Kordofan,697
South Kordofan,SD07,Habila - SK,SD07103,56626,11319,56626,0, Sennar,0
South Kordofan,SD07,Habila - SK,SD07103,56626,11319,56626,0, South Darfur,0
South Kordofan,SD07,Habila - SK,SD07103,56626,11319,56626,0, South Kordofan,53445
South Kordofan,SD07,Habila - SK,SD07103,56626,11319,56626,0, West Darfur,0
South Kordofan,SD07,Habila - SK,SD07103,56626,11319,56626,0, West Kordofan,0
South Kordofan,SD07,Habila - SK,SD07103,56626,11319,56626,0, White Nile,0
South Kordofan,SD07,Kadugli,SD07098,13804,2600,13804,0, Aj Jazirah,0
South Kordofan,SD07,Kadugli,SD07098,13804,2600,13804,0, Central Darfur,0
South Kordofan,SD07,Kadugli,SD07098,13804,2600,13804,0, East Darfur,0
South Kordofan,SD07,Kadugli,SD07098,13804,2600,13804,0, Khartoum,6625
South Kordofan,SD07,Kadugli,SD07098,13804,2600,13804,0, North Darfur,0
South Kordofan,SD07,Kadugli,SD07098,13804,2600,13804,0, North Kordofan,295
South Kordofan,SD07,Kadugli,SD07098,13804,2600,13804,0, Sennar,0
South Kordofan,SD07,Kadugli,SD07098,13804,2600,13804,0, South Darfur,0
South Kordofan,SD07,Kadugli,SD07098,13804,2600,13804,0, South Kordofan,6864
South Kordofan,SD07,Kadugli,SD07098,13804,2600,13804,0, West Darfur,0
South Kordofan,SD07,Kadugli,SD07098,13804,2600,13804,0, West Kordofan,10
South Kordofan,SD07,Kadugli,SD07098,13804,2600,13804,0, White Nile,10
South Kordofan,SD07,Talawdi,SD07089,2013,402,2013,0, Aj Jazirah,0
South Kordofan,SD07,Talawdi,SD07089,2013,402,2013,0, Central Darfur,0
South Kordofan,SD07,Talawdi,SD07089,2013,402,2013,0, East Darfur,0
South Kordofan,SD07,Talawdi,SD07089,2013,402,2013,0, Khartoum,2013
South Kordofan,SD07,Talawdi,SD07089,2013,402,2013,0, North Darfur,0
South Kordofan,SD07,Talawdi,SD07089,2013,402,2013,0, North Kordofan,0
South Kordofan,SD07,Talawdi,SD07089,2013,402,2013,0, Sennar,0
South Kordofan,SD07,Talawdi,SD07089,2013,402,2013,0, South Darfur,0
South Kordofan,SD07,Talawdi,SD07089,2013,402,2013,0, South Kordofan,0
South Kordofan,SD07,Talawdi,SD07089,2013,402,2013,0, West Darfur,0
South Kordofan,SD07,Talawdi,SD07089,2013,402,2013,0, West Kordofan,0
South Kordofan,SD07,Talawdi,SD07089,2013,402,2013,0, White Nile,0
West Darfur,SD04,Ag Geneina,SD04115,32885,6577,32885,0, Aj Jazirah,0
West Darfur,SD04,Ag Geneina,SD04115,32885,6577,32885,0, Central Darfur,900
West Darfur,SD04,Ag Geneina,SD04115,32885,6577,32885,0, East Darfur,1700
West Darfur,SD04,Ag Geneina,SD04115,32885,6577,32885,0, Khartoum,2105
West Darfur,SD04,Ag Geneina,SD04115,32885,6577,32885,0, North Darfur,460
